nan,lat,25.2638,25.2581,25.1502,25.1335,25.1175,25.1163,25.0903,25.0866,25.0843,25.0794,25.078,25.0515,25.0478,25.0378,25.0271,25.0144,25.0113,25.0024,24.9924,24.9732,24.9712,24.9515,24.9401,24.939,24.9382,24.9342,24.9287,24.9124,24.9048,24.8975,24.8829,24.8707,24.8701,24.8497,24.8475,24.8202,24.8175,24.7987,24.7982,24.7671,24.7665,24.753,24.7469,24.735,24.7191,24.7112,24.6905,24.6882,24.6783,24.6753,24.6444,24.6371,24.634,24.6328,24.6256,24.6065,24.6018,24.5835,24.5794,24.5725,24.5629,24.5548,24.5391,24.5383,24.5378,24.527,24.5269,24.522,24.5055,24.4918,24.4897,24.489,24.4719,24.4513,24.4397,24.4217,24.4149,24.4109,24.398,24.3832,24.3686,24.3673,24.3477,24.3477,24.3451,24.3128,24.3123,24.3104,24.2806,24.2791,24.2725,24.2724,24.2635,24.2548,24.2475,24.2464,24.2214,24.2131,24.2046,24.2035,24.2002,24.192,24.1861,24.1845,24.1828,24.1809,24.1796,24.1795,24.1718,24.1605,24.1583,24.153,24.1489,24.1434,24.137,24.1213,24.1094,24.1071,24.1036,24.0925,24.0753,24.0712,24.0341,24.0333,24.0161,24.0157,24.0004,23.9919,23.9798,23.9737,23.9674,23.9619,23.9587,23.953,23.9484,23.9476,23.9465,23.9356,23.934,23.9251,23.9223,23.9053,23.9017,23.8976,23.8953,23.8844,23.8806,23.8776,23.8568,23.8208,23.8119,23.8107,23.8099,23.7971,23.7934,23.7612,23.7545,23.7537,23.7353,23.7287,23.7281,23.7192,23.7142,23.6784,23.6682,23.6667,23.6618,23.6607,23.6419,23.6152,23.5956,23.5911,23.5876,23.5633,23.5363,23.5327,23.5082,23.4931,23.4681,23.4636,23.4552,23.4434,23.4067,23.3457,23.3244,23.3215,23.3116,23.2798,23.274,23.2684,23.2519,23.2484,23.2224,23.2221,23.2197,23.2087,23.1995,23.1932,23.1835,23.1833,23.1734,23.173,23.1542,23.1503,23.1486,23.1349,23.126,23.1221,23.1196,23.1189,23.1129,23.1026,23.085,23.0801,23.0796,23.0767,23.072,23.057,23.0384,23.0214,23.0104,23.002,22.9979,22.9932,22.9918,22.971,22.9683,22.9595,22.9355,22.9177,22.9059,22.8987,22.8932,22.8886,22.8883,22.888,22.8871,22.855,22.8542,22.8264,22.8232,22.8132,22.8042,22.7971,22.7838,22.7792,22.7701,22.7633,22.7578,22.7429,22.7405,22.7396,22.7386,22.7303,22.7198,22.7099,22.7011,22.6931,22.6829,22.6603,22.6508,22.645,22.6274,22.6227,22.6177,22.609,22.6056,22.5923,22.591,22.5882,22.5878,22.566,22.5381,22.5344,22.5273,22.5148,22.5077,22.4679,22.4281,22.4195,22.3704,22.3322,22.2797,22.1678,22.1126,22.037,22.0039
nan,lon,121.5653,121.5019,121.4039,121.4693,121.5372,121.5138,121.503,121.4723,121.2658,121.5755,121.5429,121.4468,121.226,121.5646,121.1533,121.5395,121.5081,121.5757,121.3232,121.4452,121.8237,121.3463,121.0872,121.3697,121.7094,121.5933,121.2833,121.143,121.0436,121.2146,121.2655,120.9772,121.2214,121.1508,121.0383,121.3523,121.7655,120.9869,121.1739,121.0579,121.1192,121.6413,120.9055,121.0252,121.2839,121.1169,121.0172,120.9122,121.2086,121.5871,121.091,120.8648,121.7169,121.1606,121.7513,120.7839,121.0002,120.8854,121.0799,120.7348,120.7485,121.0347,120.92,121.0028,121.8485,121.1161,120.8308,121.8332,121.5257,120.9276,120.7909,120.968,120.7046,120.9302,120.6531,120.9238,120.8709,120.766,120.986,121.7786,120.9402,120.9017,120.6404,120.827,120.588,120.8248,120.5622,120.7297,121.0266,120.9458,120.6583,120.849,121.0056,121.1903,121.2437,120.833,120.8411,120.7039,121.454,121.0186,120.8158,121.3884,121.3161,120.529,120.9299,120.8484,121.4956,120.6413,121.5713,120.832,120.8869,120.5721,120.4844,121.2725,120.638,121.2736,121.2052,120.6241,120.7511,120.7014,120.4305,120.8204,120.5039,121.1818,120.5523,120.6213,120.4317,121.5372,121.1323,120.6809,120.8022,120.9911,120.9179,121.1786,120.4791,120.5255,120.5856,121.5089,120.812,120.6378,120.32,120.847,120.5094,120.5862,121.5498,120.7664,121.582,120.5142,120.5883,120.6426,121.4415,120.6173,121.5398,121.5425,120.9494,120.6882,120.884,121.1411,121.4201,120.7121,120.7873,120.442,121.3731,120.76,120.8874,121.3701,120.8076,121.425,120.6541,121.4133,120.6935,120.8889,121.3782,120.8687,120.1693,120.8437,120.8132,121.3388,121.3741,120.9541,121.495,121.3274,120.6544,121.2132,120.582,121.3397,120.5223,120.7053,120.9118,120.8236,120.5761,120.9861,120.8061,120.4009,120.4973,121.2623,121.027,120.3154,120.4841,120.2486,120.5941,120.1451,120.8136,121.3823,120.4186,120.7167,120.4606,121.2624,121.2095,120.3608,120.2972,120.2278,120.7885,120.5918,120.495,120.1449,120.757,120.6461,120.2367,120.3479,120.1942,120.7154,120.6336,120.2048,120.2935,120.5399,120.2577,120.3693,120.3094,121.123,120.6881,120.5192,120.4019,120.4836,120.646,120.7379,120.2445,120.2594,120.5454,120.6008,120.2369,120.3678,120.3555,120.295,120.2464,120.4946,120.6452,120.7044,120.3058,120.7437,120.4905,120.5308,120.4468,120.3466,120.286,120.6399,120.3477,120.5426,120.6866,120.4941,120.5272,120.3112,120.2988,120.3307,120.7322,120.9853,120.3957,120.6143,120.9332,120.6649,120.4904,120.3157,120.9669,120.54,120.6251,120.5069,120.3945,120.5829,120.6292,120.5524,120.6283,120.3622,120.8892,120.8406,120.7566,121.5583,120.7463
1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0.166666667,0,0,0,0.166666667,0,0,0.833333333,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0.166666667,0.166666667,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0.166666667,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.333333333,0
4,,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.833333333,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,2,0,0,2.333333333,0,3.166666667,0,0,0,0,0,0,0,0,0,7.333333333,0,0,0.833333333,0.166666667,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833333333,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0.333333333,0,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0.166666667,0,3.333333333,0
5,,0,5.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.166666667,0,0,8.666666667,0,0,0,0.666666667,2.333333333,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,5.333333333,0,0.166666667,0,0,0.166666667,0,0,9.5,0.5,0,5.166666667,0.166666667,6,0,0,0,0,0,0,0,0,0.166666667,25.33333333,0.166666667,0,4.333333333,0.5,0,0,0,0,0.166666667,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0.333333333,0.166666667,0.166666667,0,0,0,0.833333333,0,0,0.166666667,0,0,0,0,0,0,0.833333333,0,0,0,0,0.333333333,0,0.333333333,1.166666667,0,0,0,0,0,0,0.166666667,0,0,0,5,0.666666667,0,0,0,0,0.333333333,0,0,0,1.5,0,0,0,0,0,0,0.5,0,1.166666667,0,0,0,0.666666667,0,3.166666667,1.166666667,0,0,0,0,2.333333333,0,0,0,1.333333333,0,0,14.33333333,0,0.333333333,0,2.333333333,0,0,0.333333333,0,0,0,0,0.166666667,0.333333333,0,1.5,0.833333333,0,0,0,0.333333333,0,0,0,0,0,0.5,0,0,0,0.166666667,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.166666667,0,6.166666667,0
6,,0,5.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.166666667,0,0,8.833333333,0,0,0,0.666666667,2.333333333,0,0,0,0,0,0,0,0,0,0.166666667,0.666666667,0,0,0,0,5.333333333,0,0.166666667,0,0,0.166666667,0,0,9.666666667,0.5,0,5.166666667,0.166666667,6,0,0,0,0,0,0,0,0,0.166666667,25.33333333,0.166666667,0,4.333333333,0.666666667,0,0,0,0,0.166666667,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0.333333333,0.166666667,0.166666667,0,0,0,0.833333333,0,0,0.333333333,0,0,0,0,0,0,1,0,0,0,0,0.333333333,0,0.333333333,1.166666667,0,0,0,0,0,0,0.166666667,0,0,0,6.166666667,0.833333333,0,0,0,0,0.5,0,0,0,2,0,0,0,0,0,0,0.5,0,1.5,0,0,0,0.666666667,0,3.5,1.166666667,0,0,0,0,3,0,0,0,2,0.166666667,0,18.66666667,0,1,0,3,0,0,1,0,0,0,0,0.166666667,0.333333333,0,1,1.5,0,0.166666667,0,0.5,0,0,0,0,0,0.666666667,0,0,0,0.166666667,2.5,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0.166666667,0.5,0,0,0,0.166666667,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.166666667,0,3,0
7,,0,4.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.166666667,0,0,7,0,0,0,0.5,2.333333333,0,0,0,0,0,0,0,0,0,0.166666667,0.666666667,0,0,0,0,3.833333333,0,0.166666667,0,0,0.166666667,0,0,7.666666667,0.5,0,2.833333333,0.166666667,2.833333333,0,0,0,0,0,0,0.166666667,0,0.166666667,18.16666667,0.166666667,0,3.5,0.5,0,0,0,0,0.166666667,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0.333333333,0.166666667,0.166666667,0,0,0,0.833333333,0,0,0.333333333,0,0,0,0,0,0,1,0,0,0,0,0.333333333,0,0.333333333,1.166666667,0,0,0,0,0,0,0.166666667,0,0,0,5.333333333,0.833333333,0,0,0,0,0.5,0,0,0,1.666666667,0,0,0,0,0,0,0.5,0,1.166666667,0,0,0,0.333333333,0,2.666666667,1.166666667,0,0,0,0,3,0,0,0,2,0.166666667,0,18.16666667,0,1,0,3,0,0,1,0,0,0,0,0.166666667,0.333333333,0,1,1.5,0,0.166666667,0,0.5,0.166666667,0,0,0,0,0.666666667,0,0,0,0.166666667,2.5,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0.166666667,0,0,0,0,0.166666667,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,3,0
8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,1,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.166666667,0.166666667,0,0,0,0,0.166666667,0,0,0,0.5,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,0.5,0.5,0,0,0,0,0.666666667,0,0,0,0.666666667,0.166666667,0,4.333333333,0,0.666666667,0,0.666666667,0,0,0.666666667,0,0,0,0,0,0,0,0.666666667,0.666666667,0,0.166666667,0,0.166666667,0.166666667,0,0,0,0,0.166666667,0,0,0,0,1.833333333,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0.166666667,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0
