lon,lat,num
25.25,121.55,2
25.15,121.45,2
25.15,121.55,2
25.15,121.65,0
25.15,121.75,0
25.05,121.15,1
25.05,121.25,2
25.05,121.35,0
25.05,121.45,2
25.05,121.55,7
25.05,121.65,0
25.05,121.75,0
25.05,121.85,0
24.95,121.05,2
24.95,121.15,1
24.95,121.25,1
24.95,121.35,3
24.95,121.45,1
24.95,121.55,1
24.95,121.65,0
24.95,121.75,1
24.95,121.85,1
24.85,120.95,1
24.85,121.05,1
24.85,121.15,1
24.85,121.25,3
24.85,121.35,1
24.85,121.45,0
24.85,121.55,0
24.85,121.65,0
24.85,121.75,1
24.75,120.95,2
24.75,121.05,2
24.75,121.15,3
24.75,121.25,1
24.75,121.35,0
24.75,121.45,0
24.75,121.55,0
24.75,121.65,1
24.75,121.75,0
24.65,120.75,1
24.65,120.85,1
24.65,120.95,1
24.65,121.05,3
24.65,121.15,1
24.65,121.25,1
24.65,121.35,0
24.65,121.45,0
24.65,121.55,1
24.65,121.65,0
24.65,121.75,2
24.55,120.75,2
24.55,120.85,2
24.55,120.95,1
24.55,121.05,3
24.55,121.15,1
24.55,121.25,0
24.55,121.35,0
24.55,121.45,0
24.55,121.55,1
24.55,121.65,0
24.55,121.75,0
24.55,121.85,2
24.45,120.65,1
24.45,120.75,3
24.45,120.85,1
24.45,120.95,4
24.45,121.05,0
24.45,121.15,0
24.45,121.25,0
24.45,121.35,0
24.45,121.45,0
24.45,121.55,0
24.45,121.65,0
24.45,121.75,0
24.35,120.55,2
24.35,120.65,1
24.35,120.75,1
24.35,120.85,2
24.35,120.95,3
24.35,121.05,0
24.35,121.15,0
24.35,121.25,0
24.35,121.35,0
24.35,121.45,0
24.35,121.55,0
24.35,121.65,0
24.35,121.75,1
24.25,120.55,0
24.25,120.65,1
24.25,120.75,1
24.25,120.85,4
24.25,120.95,1
24.25,121.05,3
24.25,121.15,1
24.25,121.25,1
24.25,121.35,0
24.25,121.45,1
24.25,121.55,0
24.25,121.65,0
24.15,120.45,1
24.15,120.55,2
24.15,120.65,3
24.15,120.75,1
24.15,120.85,3
24.15,120.95,1
24.15,121.05,0
24.15,121.15,0
24.15,121.25,3
24.15,121.35,2
24.15,121.45,1
24.15,121.55,1
24.15,121.65,0
24.05,120.45,2
24.05,120.55,2
24.05,120.65,1
24.05,120.75,1
24.05,120.85,1
24.05,120.95,0
24.05,121.05,0
24.05,121.15,1
24.05,121.25,0
24.05,121.35,0
24.05,121.45,0
24.05,121.55,0
23.95,120.35,1
23.95,120.45,1
23.95,120.55,3
23.95,120.65,2
23.95,120.75,0
23.95,120.85,3
23.95,120.95,2
23.95,121.05,0
23.95,121.15,2
23.95,121.25,0
23.95,121.35,0
23.95,121.45,0
23.95,121.55,2
